id,title,description,availability,condition,price,link,image_link,brand,product_type
bh-harmony-2p,"2 pièces – Harmony, Ashdod","Programme neuf à Harmony, Ashdod. Promoteur reconnu. Appartements de 2 pièces, de 54 à 55 m². Livraison 2031. Avec parking selon les appartements. À partir de 1 735 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,1735000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-harmony-2p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-harmony-2p.jpg,BH Nadlan,Immobilier neuf > Ashdod
bh-harmony-3p,"3 pièces – Harmony, Ashdod","Programme neuf à Harmony, Ashdod. Promoteur reconnu. Appartements de 3 pièces, 80 m². Livraison 2031. À partir de 2 125 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2125000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-harmony-3p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-harmony-3p.jpg,BH Nadlan,Immobilier neuf > Ashdod
bh-harmony-4p,"4 pièces – Harmony, Ashdod","Programme neuf à Harmony, Ashdod. Promoteur reconnu. Appartements de 4 pièces, de 111 à 113 m². Livraison 2031. À partir de 2 495 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2495000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-harmony-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-harmony-4p.jpg,BH Nadlan,Immobilier neuf > Ashdod
bh-harmony-5p,"5 pièces – Harmony, Ashdod","Programme neuf à Harmony, Ashdod. Promoteur reconnu. Appartements de 5 pièces, de 141 à 191 m². Livraison 2031. À partir de 2 975 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2975000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-harmony-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-harmony-5p.jpg,BH Nadlan,Immobilier neuf > Ashdod
bh-harmony-6p,"6 pièces – Harmony, Ashdod","Programme neuf à Harmony, Ashdod. Promoteur reconnu. Appartements de 6 pièces, 165 m². Livraison 2031. À partir de 3 885 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,3885000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-harmony-6p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-harmony-6p.jpg,BH Nadlan,Immobilier neuf > Ashdod
bh-ir-hayain-3p,"3 pièces – Ir HaYain, Ashkelon","Programme neuf à Ir HaYain, Ashkelon. Promoteur reconnu. Appartements de 3 pièces. Livraison 09/2028. À partir de 1 850 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,1850000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-ir-hayain-3p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-ir-hayain-3p.jpg,BH Nadlan,Immobilier neuf > Ashkelon
bh-ir-hayain-4p,"4 pièces – Ir HaYain, Ashkelon","Programme neuf à Ir HaYain, Ashkelon. Promoteur reconnu. Appartements de 4 pièces. Livraison 09/2028. À partir de 2 150 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2150000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-ir-hayain-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-ir-hayain-4p.jpg,BH Nadlan,Immobilier neuf > Ashkelon
bh-ir-hayain-5p,"5 pièces – Ir HaYain, Ashkelon","Programme neuf à Ir HaYain, Ashkelon. Promoteur reconnu. Appartements de 5 pièces. Livraison 09/2028. À partir de 2 450 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2450000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-ir-hayain-5p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-ir-hayain-5p.jpg,BH Nadlan,Immobilier neuf > Ashkelon
bh-marina-2p,"2 pièces – Marina, Ashkelon","Programme neuf à Marina, Ashkelon. Promoteur reconnu. Appartements de 2 pièces. Livraison 05/2026. À partir de 1 750 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,1750000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-marina-2p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-marina-2p.jpg,BH Nadlan,Immobilier neuf > Ashkelon
bh-marina-4p,"4 pièces – Marina, Ashkelon","Programme neuf à Marina, Ashkelon. Promoteur reconnu. Appartements de 4 pièces. Livraison 05/2026. À partir de 2 490 000 ₪. BH Nadlan accompagne les acheteurs francophones du premier contact jusqu'à la remise des clés : sélection, négociation, avocat, banque et suivi du chantier.",in stock,new,2490000 ILS,https://hb1826-prog.github.io/bh-nadlan-vitrine/bh-marina-4p.html,https://hb1826-prog.github.io/bh-nadlan-vitrine/img/bh-marina-4p.jpg,BH Nadlan,Immobilier neuf > Ashkelon
